B2,B3,B4,B5,B6,B7
20180825-075844_569_live,user_1689,0,0.25,0.25,11
20180825-075844_569_live,user_836,1,0.25,0.25,11
20180825-075913_208_live,user_1483,0,,0,11
20180825-075913_208_live,user_882,1,1.2,0,11
20180825-080131_220_live,user_72,0,,0,10
20180825-080131_220_live,user_1814,1,0.15,0.15,10
20180825-080436_824_live,user_251,0,10,10,11
20180825-080436_824_live,user_1179,1,10,10,11
20180825-080802_964_live,user_1519,0,,0.15,11
20180825-080802_964_live,user_281,1,1,1,11
20180825-081402_621_live,user_2028,0,,0,10
20180825-081402_621_live,user_1985,1,0.3,0.3,10
20180825-081502_364_live,user_355,0,,0.05,11
20180825-081502_364_live,user_1674,1,0.05,0,11
20180825-081859_875_live,user_759,0,,0.01,10
20180825-081859_875_live,user_689,1,0.1,0.1,10
20180825-082635_438_live,user_2161,0,,0,10
20180825-082635_438_live,user_1178,1,,0.15,10
20180825-083430_379_live,user_1674,0,,0,10
20180825-083430_379_live,user_2198,1,,0,10
20180825-083745_516_live,user_596,0,,0,10
20180825-083745_516_live,user_355,1,0.15,0.15,10
20180825-084254_215_live,user_1475,0,1,1,11
20180825-084254_215_live,user_1810,1,1,1,11
20180825-084657_775_live,user_1692,0,,0.5,10
20180825-084657_775_live,user_660,1,0.1,0,10
20180825-085214_779_live,user_1674,0,,0,10
20180825-085214_779_live,user_2198,1,5,0,10
20180825-085709_930_live,user_2028,0,0.2,0.2,10
20180825-085709_930_live,user_380,1,0.2,0.1,10
20180825-085908_923_live,user_355,0,0.15,0.15,11
20180825-085908_923_live,user_785,1,0.15,0,11
20180825-090032_956_live,user_1985,0,,0,10
20180825-090032_956_live,user_1653,1,0,0,10
20180825-090251_7_live,user_1810,0,,0.1,10
20180825-090251_7_live,user_660,1,5,0,10
20180825-090446_585_live,user_1364,0,,0,10
20180825-090446_585_live,user_2198,1,10,0,10
20180825-091558_618_live,user_380,0,,0,11
20180825-091558_618_live,user_2028,1,,0,11
20180825-092012_333_live,user_660,0,,0,10
20180825-092012_333_live,user_1114,1,,0,10
20180825-100043_534_live,user_638,0,,0.25,11
20180825-100043_534_live,user_2076,1,,0.1,11
20180825-102556_172_live,user_1987,0,1,1,11
20180825-102556_172_live,user_2205,1,1,1,11
20180825-111850_152_live,user_488,0,0.25,0,11
20180825-111850_152_live,user_1674,1,0.25,0,11
20180825-112434_860_live,user_2136,0,,0.1,10
20180825-112434_860_live,user_55,1,0.3,0,10
20180825-112615_516_live,user_130,0,,0,11
20180825-112615_516_live,user_201,1,,0,11
20180825-125810_869_live,user_537,0,,0,10
20180825-125810_869_live,user_1791,1,100,0.05,10
20180825-143255_249_live,user_395,0,,0,10
20180825-143255_249_live,user_800,1,0.1,0.05,10
20180825-210735_192_live,user_905,0,,0,10
20180825-210735_192_live,user_597,1,10,0.1,10
20180826-011431_343_live,user_667,0,,0,10
20180826-011431_343_live,user_835,1,5,0,10
20180826-013036_595_live,user_1471,0,,0,11
20180826-013036_595_live,user_19,1,0.15,0,11
20180826-013529_897_live,user_1080,0,5,0,10
20180826-013529_897_live,user_1054,1,5,5,10
20180826-013831_953_live,user_1635,0,2,1,10
20180826-013831_953_live,user_816,1,1,1,10
20180826-020520_686_live,user_667,0,,0,11
20180826-020520_686_live,user_1315,1,,0,11
20180826-021724_326_live,user_195,0,,1,10
20180826-021724_326_live,user_1054,1,1,1,10
20180826-023807_40_live,user_865,0,,0,13
20180826-023807_40_live,user_709,1,,0.25,13
20180826-033211_245_live,user_1012,0,,0,11
20180826-033211_245_live,user_390,1,,0.05,11
20180826-040651_411_live,user_495,0,,0,11
20180826-040651_411_live,user_569,1,100,0.01,11
20180826-043247_456_live,user_2244,0,,0,11
20180826-043247_456_live,user_931,1,1,0,11
20180826-044626_167_live,user_102,0,,0,11
20180826-044626_167_live,user_1479,1,0.25,0,11
20180826-045748_926_live,user_569,0,5,0.1,10
20180826-045748_926_live,user_300,1,5,0,10
20180826-052222_969_live,user_1218,0,,0,10
20180826-052222_969_live,user_1814,1,0.3,0.3,10
20180826-053811_708_live,user_197,0,,0,10
20180826-053811_708_live,user_1865,1,,0.2,10
20180826-053845_531_live,user_1491,0,,0.5,11
20180826-053845_531_live,user_1185,1,,0.3,11
20180826-054028_444_live,user_1810,0,1,0.1,10
20180826-054028_444_live,user_147,1,1,1,10
20180826-054232_684_live,user_112,0,,0,10
20180826-054232_684_live,user_532,1,0.2,0.2,10
20180826-054344_65_live,user_2070,0,,1,10
20180826-054344_65_live,user_753,1,500,0,10
20180826-055352_947_live,user_1823,0,,0.15,11
20180826-055352_947_live,user_1249,1,,0,11
20180826-060201_521_live,user_197,0,,0.1,11
20180826-060201_521_live,user_858,1,10,0,11
20180826-061500_476_live,user_426,0,,0.5,11
20180826-061500_476_live,user_1980,1,10,0,11
20180826-061846_932_live,user_1285,0,,10,11
20180826-061846_932_live,user_1809,1,,0.3,11
20180826-061949_863_live,user_197,0,,0.2,10
20180826-061949_863_live,user_1189,1,5,0,10
20180826-062356_655_live,user_569,0,,0.1,10
20180826-062356_655_live,user_49,1,,0,10
20180826-062736_188_live,user_2145,0,,0,11
20180826-062736_188_live,user_1063,1,,0,11
20180826-062755_702_live,user_1810,0,,0.05,10
20180826-062755_702_live,user_198,1,0.05,0.05,10
20180826-063853_537_live,user_904,0,,0,10
20180826-063853_537_live,user_197,1,,0.05,10
20180826-064104_677_live,user_1810,0,,0.05,10
20180826-064104_677_live,user_31,1,0.1,0,10
20180826-064412_288_live,user_1627,0,,0,10
20180826-064412_288_live,user_858,1,,0,10
20180826-065245_39_live,user_2244,0,,0.5,10
20180826-065245_39_live,user_955,1,,0.1,10
20180826-070022_438_live,user_197,0,,0,10
20180826-070022_438_live,user_198,1,0.05,0.05,10
20180826-070323_186_live,user_858,0,,0,10
20180826-070323_186_live,user_1441,1,,0,10
20180826-072151_442_live,user_197,0,5,0,10
20180826-072151_442_live,user_380,1,5,5,10
20180826-073320_803_live,user_1575,0,,0.25,10
20180826-073320_803_live,user_919,1,20,0,10
20180826-073858_133_live,user_198,0,1,0.05,11
20180826-073858_133_live,user_2128,1,0.3,0.3,11
20180826-080505_231_live,user_950,0,,0,10
20180826-080505_231_live,user_1074,1,0.25,0,10
20180826-082717_200_live,user_2241,0,,0.1,10
20180826-082717_200_live,user_1974,1,0.1,0.1,10
20180826-173836_197_live,user_2153,0,,0.5,10
20180826-173836_197_live,user_1284,1,0.5,0,10
20180826-174120_426_live,user_1054,0,0.15,0.15,11
20180826-174120_426_live,user_322,1,0.15,0.15,11
20180826-174459_637_live,user_1467,0,,0,10
20180826-174459_637_live,user_1912,1,1,0,10
20180826-174933_275_live,user_1975,0,,0,10
20180826-174933_275_live,user_1493,1,,0,10
20180826-174957_757_live,user_511,0,0.2,0,11
20180826-174957_757_live,user_2185,1,0.2,0.2,11
20180826-175233_4_live,user_858,0,,0,10
20180826-175233_4_live,user_1120,1,1,0,10
20180826-175345_318_live,user_432,0,,0,10
20180826-175345_318_live,user_1530,1,,0,10
20180826-175426_937_live,user_2198,0,0.5,0,10
20180826-175426_937_live,user_532,1,0.5,0.5,10
20180826-175705_624_live,user_380,0,,0,10
20180826-175705_624_live,user_1284,1,0.6,0,10
20180826-175706_443_live,user_371,0,,0,10
20180826-175706_443_live,user_1507,1,0,0,10
20180826-175853_545_live,user_197,0,,0.01,10
20180826-175853_545_live,user_199,1,0.1,0.1,10
20180826-180009_407_live,user_1258,0,,0.5,10
20180826-180009_407_live,user_651,1,0.1,0,10
20180826-180300_663_live,user_319,0,,0,11
20180826-180300_663_live,user_667,1,2,0,11
20180826-180314_928_live,user_1872,0,0.3,0.3,10
20180826-180314_928_live,user_30,1,0.2,0,10
20180826-180554_582_live,user_11,0,,0.1,11
20180826-180554_582_live,user_660,1,5,0,11
20180826-180631_700_live,user_858,0,,0,10
20180826-180631_700_live,user_2236,1,0,0.15,10
20180826-181020_331_live,user_194,0,,1,11
20180826-181020_331_live,user_2198,1,3,0,11
20180826-181249_805_live,user_189,0,,0,10
20180826-181249_805_live,user_1133,1,0.25,0,10
20180826-181742_58_live,user_380,0,,0,11
20180826-181742_58_live,user_1784,1,20,0,11
20180826-181903_395_live,user_1467,0,,0,10
20180826-181903_395_live,user_9,1,0.15,0,10
20180826-181951_904_live,user_2138,0,,0,10
20180826-181951_904_live,user_205,1,0.05,0.05,10
20180826-182047_49_live,user_1284,0,,0,10
20180826-182047_49_live,user_689,1,10,0,10
20180826-182048_519_live,user_835,0,,0,11
20180826-182048_519_live,user_1712,1,,0,11
20180826-182522_887_live,user_841,0,,0.05,10
20180826-182522_887_live,user_625,1,0.2,0.2,10
20180826-184037_209_live,user_573,0,0.1,0,10
20180826-184037_209_live,user_64,1,0.1,0.1,10
20180826-184708_183_live,user_1362,0,,0,10
20180826-184708_183_live,user_1892,1,,0,10
20180826-190151_488_live,user_2236,0,,0.15,10
20180826-190151_488_live,user_1955,1,20,0,10
20180826-192022_0_live,user_577,0,,0.1,11
20180826-192022_0_live,user_1143,1,,0,11
20180826-193546_146_live,user_1388,0,,0,10
20180826-193546_146_live,user_1467,1,25,0,10
20180826-194841_403_live,user_2236,0,,0.05,11
20180826-194841_403_live,user_1433,1,,0.3,11
20180826-203821_83_live,user_1467,0,,0,10
20180826-203821_83_live,user_1567,1,0.1,0.1,10
20180826-204907_535_live,user_1895,0,,0,10
20180826-204907_535_live,user_1622,1,0.3,0.3,10
20180826-210609_644_live,user_1190,0,,0,11
20180826-210609_644_live,user_1182,1,0.05,0.05,11
20180826-212714_597_live,user_1467,0,,0,10
20180826-212714_597_live,user_978,1,0.15,0.15,10
20180826-220528_999_live,user_965,0,,0,10
20180826-220528_999_live,user_1501,1,0.3,0.3,10
20180826-220838_141_live,user_170,0,,0,11
20180826-220838_141_live,user_1467,1,50,0,11
20180827-004037_444_live,user_1411,0,,0,10
20180827-004037_444_live,user_1482,1,,1,10
20180827-004200_630_live,user_817,0,,0,11
20180827-004200_630_live,user_1753,1,10,0.3,11
20180827-021816_456_live,user_1928,0,,0,10
20180827-021816_456_live,user_874,1,0.3,50,10
20180827-024612_480_live,user_569,0,,0,10
20180827-024612_480_live,user_1018,1,,0,10
20180827-025236_792_live,user_1928,0,,0.1,10
20180827-025236_792_live,user_1195,1,0.3,0.2,10
20180827-030633_256_live,user_569,0,,0,10
20180827-030633_256_live,user_2187,1,,10,10
20180827-032231_430_live,user_569,0,,0,10
20180827-032231_430_live,user_197,1,,0.01,10
20180827-032731_796_live,user_621,0,,0,10
20180827-032731_796_live,user_1082,1,100,100,10
20180827-032811_159_live,user_1277,0,,0,12
20180827-032811_159_live,user_1504,1,25,25,12
20180827-033057_106_live,user_527,0,,1,12
20180827-033057_106_live,user_2047,1,,0.1,12
20180827-033412_606_live,user_414,0,,0.15,10
20180827-033412_606_live,user_1928,1,0.15,0.15,10
20180827-033451_673_live,user_1954,0,,0.3,11
20180827-033451_673_live,user_804,1,0.5,2,11
20180827-034056_964_live,user_197,0,,0.01,10
20180827-034056_964_live,user_1154,1,0,0,10
20180827-034916_910_live,user_1810,0,,0.05,10
20180827-034916_910_live,user_1758,1,0.3,0.3,10
20180827-035202_980_live,user_1379,0,,0,11
20180827-035202_980_live,user_678,1,0,0,11
20180827-041027_973_live,user_569,0,,0,10
20180827-041027_973_live,user_841,1,,0,10
20180827-041028_432_live,user_1810,0,,0.05,10
20180827-041028_432_live,user_189,1,0.1,0.1,10
20180827-043632_426_live,user_609,0,0.01,0,10
20180827-043632_426_live,user_880,1,0.01,0.1,10
20180827-050740_909_live,user_858,0,,0,10
20180827-050740_909_live,user_2225,1,0,0,10
20180827-051440_378_live,user_119,0,0.15,0,11
20180827-051440_378_live,user_855,1,0.1,0,11
20180827-053243_818_live,user_1701,0,,0,11
20180827-053243_818_live,user_904,1,0,0,11
20180828-151914_101_live,user_705,0,,1,
20180828-151914_101_live,user_2231,1,1,1,10
20180828-165639_960_live,user_1493,0,,0,
20180828-165639_960_live,user_1362,1,0.3,0,10
20180829-082113_449_live,user_1620,0,,0.25,
20180829-082113_449_live,user_1303,1,0.25,0.5,10
20180829-084042_694_live,user_357,0,,0,
20180829-084042_694_live,user_1305,1,1,0,10
20180902-215344_542_live,user_1298,0,,0,
20180902-215344_542_live,user_2234,1,2,2,10
20180902-220100_244_live,user_791,0,,0,
20180902-220100_244_live,user_508,1,0.5,0.5,10
20180902-222227_892_live,user_309,0,,0,
20180902-222227_892_live,user_322,1,2,2,10
20180903-094545_472_live,user_1134,0,,0,
20180903-094545_472_live,user_374,1,,0,10
20180903-103835_253_live,user_1385,0,,0,
20180903-103835_253_live,user_729,1,,0,10
20180903-103939_512_live,user_1247,0,,0,
20180903-103939_512_live,user_1093,1,0.25,0.02,10
20180903-111245_955_live,user_1875,0,,0.1,
20180903-111245_955_live,user_1553,1,1,1,10
20180903-132332_521_live,user_689,0,,0,
20180903-132332_521_live,user_259,1,0.25,0,10
20180903-134122_237_live,user_1081,0,,0,
20180903-134122_237_live,user_91,1,,0.2,10
20180903-145436_470_live,user_1847,0,,0.5,
20180903-145436_470_live,user_858,1,,0,10
20180903-163331_887_live,user_45,0,,0.1,
20180903-163331_887_live,user_241,1,2,2,10
20180903-165804_344_live,user_2086,0,,0,
20180903-165804_344_live,user_342,1,0,0,10
20180903-224911_659_live,user_1628,0,,0,
20180903-224911_659_live,user_1604,1,,1,10
20180904-004818_580_live,user_479,0,,0.05,11
20180904-004818_580_live,user_788,1,0.25,0.25,11
20180904-012448_306_live,user_1054,0,,0.1,10
20180904-012448_306_live,user_1455,1,0.1,0.1,10
20180904-012828_299_live,user_1594,0,,0,10
20180904-012828_299_live,user_1928,1,,0,10
20180904-024226_703_live,user_198,0,0.01,0.05,10
20180904-024226_703_live,user_1153,1,0.05,0.05,10
20180904-025026_901_live,user_1559,0,,0,10
20180904-025026_901_live,user_1379,1,0.3,0.3,10
20180904-030739_178_live,user_1104,0,,0,10
20180904-030739_178_live,user_621,1,,0,10
20180904-032932_423_live,user_816,0,,1,11
20180904-032932_423_live,user_1169,1,1,1,11
20180904-043300_214_live,user_858,0,,0,10
20180904-043300_214_live,user_1473,1,,0,10
20180904-045349_715_live,user_585,0,,0,11
20180904-045349_715_live,user_1810,1,0.2,0,11
20180904-073734_888_live,user_1237,0,,1,
20180904-073734_888_live,user_1833,1,,0,10